_id,Sl No,District,Total Accidents 2021,Total Deaths 2021,Total Accidents 2022,Total Deaths 2022,Total Accidents 2023,Total Deaths 2023,district_clean,Population,accidents_per_100k_2021,accidents_per_100k_2022,accidents_per_100k_2023,risk_level
1,1.0,ARIYALUR,545.0,174.0,562,184,584,190,ariyalur,754894.0,72.19556652987042,74.44753832988472,77.36185477696206,Medium Risk
2,2.0,CHENGALPATTU,1614.0,472.0,3044,937,3402,936,kancheepuram,3998252.0,40.36764065896797,76.13327023909449,85.08718309901427,Medium Risk
3,3.0,CHENNAI CITY,5035.0,999.0,3453,507,3654,504,chennai,4646732.0,108.35572182772754,74.31028946795296,78.63591014071825,Medium Risk
4,4.0,COIMBATORE,2792.0,841.0,3544,1057,3657,1044,coimbatore,3458045.0,80.73926163482545,102.48565302070968,105.7533953433226,High Risk
5,5.0,CUDDALORE,2927.0,550.0,3426,478,3121,585,cuddalore,2605914.0,112.32143501282084,131.47018666003558,119.7660398616378,High Risk
6,6.0,DHARMAPURI,1240.0,317.0,1357,389,1420,343,dharmapuri,1506843.0,82.29125396607344,90.0558319612594,94.23675857405183,High Risk
7,7.0,DINDIGUL,1747.0,539.0,2002,680,2296,755,dindigul,2159775.0,80.88805546874096,92.6948408977787,106.30736998066928,High Risk
8,8.0,ERODE,1852.0,525.0,2155,661,2396,687,erode,2251744.0,82.24736026830759,95.70359685648104,106.40641209657936,High Risk
9,9.0,KALLAKURICHI,1070.0,275.0,1147,284,1166,327,kallakurichi,,,,,
10,10.0,KANCHEEPURAM,910.0,240.0,1011,303,1039,297,kancheepuram,3998252.0,22.759946096444143,25.28605000385168,25.986356037588425,Low Risk
11,11.0,KANNIYAKUMARI,1225.0,321.0,1381,306,1471,350,kanniyakumari,1870374.0,65.49492240589315,73.83550027962322,78.6473721298521,Medium Risk
12,12.0,KARUR,1111.0,413.0,1101,382,1132,362,karur,1064493.0,104.36893431896688,103.42951996866114,106.34170445460892,High Risk
13,13.0,KRISHNAGIRI,1734.0,589.0,2029,646,2142,656,krishnagiri,1879809.0,92.24341409153804,107.93649780376624,113.94774681895876,High Risk
14,14.0,MADURAI,2283.0,711.0,2489,810,2660,890,madurai,3038252.0,75.14189079773502,81.92210521049604,87.55034144633164,Medium Risk
15,15.0,MYILADUTHURAI,,,660,153,771,146,myiladuthurai,,,,,
16,16.0,NAGAPATTINAM,1024.0,225.0,592,134,529,134,nagapattinam,1616450.0,63.34869621701878,36.62346500046398,32.726035448049736,Low Risk
17,17.0,NAMAKKAL,1734.0,422.0,2021,529,2089,584,namakkal,1726601.0,100.42852981088276,117.05078359157676,120.98915730965058,High Risk
18,18.0,PERAMBALUR,511.0,173.0,550,228,529,188,perambalur,565223.0,90.40679519410924,97.30672672555788,93.59137897785476,High Risk
19,19.0,PUDUKKOTTAI,1369.0,380.0,1731,497,1681,447,pudukkottai,1618345.0,84.59259305030757,106.9611238641946,103.87154778492844,High Risk
20,20.0,RAMANATHAPURAM,1107.0,335.0,1211,374,1310,426,ramanathapuram,1353445.0,81.79128076870505,89.47537580027264,96.79004318609178,High Risk
21,21.0,RANIPET,833.0,242.0,858,271,911,283,ranipet,,,,,
22,22.0,SALEM,2606.0,721.0,3360,868,3199,797,salem,3482056.0,74.84084115821227,96.49471461688152,91.87100954148929,Medium Risk
23,23.0,SIVAGANGAI,961.0,337.0,1143,395,1244,392,sivagangai,,,,,
24,24.0,TENKASI,979.0,237.0,1103,283,1117,252,tenkasi,,,,,
25,25.0,THANJAVUR,1849.0,431.0,2224,551,2327,609,thanjavur,2405890.0,76.85305645727776,92.43980398106316,96.7209639675962,High Risk
26,26.0,THE NILGIRIS,210.0,33.0,236,44,213,75,the nilgiris,735394.0,28.556120936531983,32.09164067153118,28.96406552133958,Low Risk
27,27.0,THENI,960.0,239.0,1121,338,1177,327,theni,1245899.0,77.05279480921006,89.975190605338,94.46993696920858,High Risk
28,28.0,THIRUVALLUR,1274.0,331.0,2595,727,2624,730,thiruvallur,3728104.0,34.17286642218135,69.60642728850912,70.38430258383349,Medium Risk
29,29.0,THIRUVARUR,621.0,168.0,727,216,893,227,thiruvarur,1264277.0,49.11898262801585,57.50322120864335,70.63325521226757,Medium Risk
30,30.0,THOOTHUKUDI,1253.0,394.0,1246,457,1440,486,thoothukudi,,,,,
31,31.0,TIRUCHIRAPALLI,1953.0,643.0,2222,714,2426,720,tiruchirapalli,,,,,
32,32.0,TIRUNELVELI,1280.0,359.0,1294,408,1531,415,tirunelveli,3077233.0,41.59581026201136,42.0507644367521,49.75248868057764,Low Risk
33,33.0,TIRUPATHUR,709.0,226.0,766,217,622,217,tirupathur,,,,,
34,34.0,TIRUPPUR,2703.0,798.0,3145,899,3294,875,tiruppur,2479052.0,109.03361446230252,126.86301053789916,132.8733725633831,High Risk
35,35.0,TIRUVANNAMALAI,1435.0,522.0,1762,565,1913,697,tiruvannamalai,2464875.0,58.217962371317,71.48435519042548,77.61042649221562,Medium Risk
36,36.0,VELLORE,819.0,246.0,976,294,992,328,vellore,3936331.0,20.806177122808016,24.794662847204663,25.20113272994573,Low Risk
37,37.0,VILLUPURAM,2131.0,520.0,2403,583,2591,564,villupuram,,,,,
38,38.0,VIRUDHUNAGAR,1276.0,436.0,1458,515,1650,502,virudhunagar,1942288.0,65.69571556844299,75.0661076009325,84.95135633850387,Medium Risk
39,,Total,55682.0,15384.0,64105,17884,67213,18347,total,,,,,
